"name","province","date","value"
"hospitalizations","AB",2020-01-25,0
"hospitalizations","AB",2020-01-26,0
"hospitalizations","AB",2020-01-27,0
"hospitalizations","AB",2020-01-28,0
"hospitalizations","AB",2020-01-29,0
"hospitalizations","AB",2020-01-30,0
"hospitalizations","AB",2020-01-31,0
"hospitalizations","AB",2020-02-01,0
"hospitalizations","AB",2020-02-02,0
"hospitalizations","AB",2020-02-03,0
"hospitalizations","AB",2020-02-04,0
"hospitalizations","AB",2020-02-05,0
"hospitalizations","AB",2020-02-06,0
"hospitalizations","AB",2020-02-07,0
"hospitalizations","AB",2020-02-08,0
"hospitalizations","AB",2020-02-09,0
"hospitalizations","AB",2020-02-10,0
"hospitalizations","AB",2020-02-11,0
"hospitalizations","AB",2020-02-12,0
"hospitalizations","AB",2020-02-13,0
"hospitalizations","AB",2020-02-14,0
"hospitalizations","AB",2020-02-15,0
"hospitalizations","AB",2020-02-16,0
"hospitalizations","AB",2020-02-17,0
"hospitalizations","AB",2020-02-18,0
"hospitalizations","AB",2020-02-19,0
"hospitalizations","AB",2020-02-20,0
"hospitalizations","AB",2020-02-21,0
"hospitalizations","AB",2020-02-22,0
"hospitalizations","AB",2020-02-23,0
"hospitalizations","AB",2020-02-24,0
"hospitalizations","AB",2020-02-25,0
"hospitalizations","AB",2020-02-26,0
"hospitalizations","AB",2020-02-27,0
"hospitalizations","AB",2020-02-28,0
"hospitalizations","AB",2020-02-29,0
"hospitalizations","AB",2020-03-01,0
"hospitalizations","AB",2020-03-02,0
"hospitalizations","AB",2020-03-03,0
"hospitalizations","AB",2020-03-04,0
"hospitalizations","AB",2020-03-05,0
"hospitalizations","AB",2020-03-06,0
"hospitalizations","AB",2020-03-07,0
"hospitalizations","AB",2020-03-08,0
"hospitalizations","AB",2020-03-09,4
"hospitalizations","AB",2020-03-10,5
"hospitalizations","AB",2020-03-11,5
"hospitalizations","AB",2020-03-12,5
"hospitalizations","AB",2020-03-13,7
"hospitalizations","AB",2020-03-14,9
"hospitalizations","AB",2020-03-15,9
"hospitalizations","AB",2020-03-16,9
"hospitalizations","AB",2020-03-17,10
"hospitalizations","AB",2020-03-18,12
"hospitalizations","AB",2020-03-19,17
"hospitalizations","AB",2020-03-20,19
"hospitalizations","AB",2020-03-21,20
"hospitalizations","AB",2020-03-22,23
"hospitalizations","AB",2020-03-23,24
"hospitalizations","AB",2020-03-24,26
"hospitalizations","AB",2020-03-25,33
"hospitalizations","AB",2020-03-26,37
"hospitalizations","AB",2020-03-27,37
"hospitalizations","AB",2020-03-28,38
"hospitalizations","AB",2020-03-29,41
"hospitalizations","AB",2020-03-30,43
"hospitalizations","AB",2020-03-31,45
"hospitalizations","AB",2020-04-01,45
"hospitalizations","AB",2020-04-02,46
"hospitalizations","AB",2020-04-03,48
"hospitalizations","AB",2020-04-04,50
"hospitalizations","AB",2020-04-05,52
"hospitalizations","AB",2020-04-06,49
"hospitalizations","AB",2020-04-07,51
"hospitalizations","AB",2020-04-08,52
"hospitalizations","AB",2020-04-09,55
"hospitalizations","AB",2020-04-10,57
"hospitalizations","AB",2020-04-11,58
"hospitalizations","AB",2020-04-12,58
"hospitalizations","AB",2020-04-13,57
"hospitalizations","AB",2020-04-14,58
"hospitalizations","AB",2020-04-15,57
"hospitalizations","AB",2020-04-16,64
"hospitalizations","AB",2020-04-17,70
"hospitalizations","AB",2020-04-18,75
"hospitalizations","AB",2020-04-19,72
"hospitalizations","AB",2020-04-20,78
"hospitalizations","AB",2020-04-21,79
"hospitalizations","AB",2020-04-22,77
"hospitalizations","AB",2020-04-23,83
"hospitalizations","AB",2020-04-24,84
"hospitalizations","AB",2020-04-25,88
"hospitalizations","AB",2020-04-26,89
"hospitalizations","AB",2020-04-27,96
"hospitalizations","AB",2020-04-28,99
"hospitalizations","AB",2020-04-29,102
"hospitalizations","AB",2020-04-30,109
"hospitalizations","AB",2020-05-01,112
"hospitalizations","AB",2020-05-02,108
"hospitalizations","AB",2020-05-03,109
"hospitalizations","AB",2020-05-04,110
"hospitalizations","AB",2020-05-05,109
"hospitalizations","AB",2020-05-06,110
"hospitalizations","AB",2020-05-07,107
"hospitalizations","AB",2020-05-08,109
"hospitalizations","AB",2020-05-09,104
"hospitalizations","AB",2020-05-10,97
"hospitalizations","AB",2020-05-11,98
"hospitalizations","AB",2020-05-12,99
"hospitalizations","AB",2020-05-13,100
"hospitalizations","AB",2020-05-14,97
"hospitalizations","AB",2020-05-15,92
"hospitalizations","AB",2020-05-16,91
"hospitalizations","AB",2020-05-17,89
"hospitalizations","AB",2020-05-18,89
"hospitalizations","AB",2020-05-19,92
"hospitalizations","AB",2020-05-20,88
"hospitalizations","AB",2020-05-21,88
"hospitalizations","AB",2020-05-22,87
"hospitalizations","AB",2020-05-23,86
"hospitalizations","AB",2020-05-24,82
"hospitalizations","AB",2020-05-25,79
"hospitalizations","AB",2020-05-26,80
"hospitalizations","AB",2020-05-27,80
"hospitalizations","AB",2020-05-28,82
"hospitalizations","AB",2020-05-29,83
"hospitalizations","AB",2020-05-30,91
"hospitalizations","AB",2020-05-31,87
"hospitalizations","AB",2020-06-01,86
"hospitalizations","AB",2020-06-02,87
"hospitalizations","AB",2020-06-03,88
"hospitalizations","AB",2020-06-04,84
"hospitalizations","AB",2020-06-05,82
"hospitalizations","AB",2020-06-06,79
"hospitalizations","AB",2020-06-07,79
"hospitalizations","AB",2020-06-08,81
"hospitalizations","AB",2020-06-09,81
"hospitalizations","AB",2020-06-10,81
"hospitalizations","AB",2020-06-11,84
"hospitalizations","AB",2020-06-12,91
"hospitalizations","AB",2020-06-13,97
"hospitalizations","AB",2020-06-14,89
"hospitalizations","AB",2020-06-15,92
"hospitalizations","AB",2020-06-16,95
"hospitalizations","AB",2020-06-17,94
"hospitalizations","AB",2020-06-18,93
"hospitalizations","AB",2020-06-19,95
"hospitalizations","AB",2020-06-20,92
"hospitalizations","AB",2020-06-21,87
"hospitalizations","AB",2020-06-22,86
"hospitalizations","AB",2020-06-23,85
"hospitalizations","AB",2020-06-24,85
"hospitalizations","AB",2020-06-25,84
"hospitalizations","AB",2020-06-26,82
"hospitalizations","AB",2020-06-27,81
"hospitalizations","AB",2020-06-28,78
"hospitalizations","AB",2020-06-29,78
"hospitalizations","AB",2020-06-30,81
"hospitalizations","AB",2020-07-01,81
"hospitalizations","AB",2020-07-02,78
"hospitalizations","AB",2020-07-03,76
"hospitalizations","AB",2020-07-04,81
"hospitalizations","AB",2020-07-05,80
"hospitalizations","AB",2020-07-06,80
"hospitalizations","AB",2020-07-07,82
"hospitalizations","AB",2020-07-08,81
"hospitalizations","AB",2020-07-09,72
"hospitalizations","AB",2020-07-10,72
"hospitalizations","AB",2020-07-11,68
"hospitalizations","AB",2020-07-12,71
"hospitalizations","AB",2020-07-13,72
"hospitalizations","AB",2020-07-14,77
"hospitalizations","AB",2020-07-15,80
"hospitalizations","AB",2020-07-16,81
"hospitalizations","AB",2020-07-17,85
"hospitalizations","AB",2020-07-18,91
"hospitalizations","AB",2020-07-19,95
"hospitalizations","AB",2020-07-20,95
"hospitalizations","AB",2020-07-21,101
"hospitalizations","AB",2020-07-22,102
"hospitalizations","AB",2020-07-23,106
"hospitalizations","AB",2020-07-24,95
"hospitalizations","AB",2020-07-25,95
"hospitalizations","AB",2020-07-26,87
"hospitalizations","AB",2020-07-27,91
"hospitalizations","AB",2020-07-28,98
"hospitalizations","AB",2020-07-29,95
"hospitalizations","AB",2020-07-30,94
"hospitalizations","AB",2020-07-31,86
"hospitalizations","AB",2020-08-01,91
"hospitalizations","AB",2020-08-02,85
"hospitalizations","AB",2020-08-03,86
"hospitalizations","AB",2020-08-04,85
"hospitalizations","AB",2020-08-05,75
"hospitalizations","AB",2020-08-06,76
"hospitalizations","AB",2020-08-07,77
"hospitalizations","AB",2020-08-08,73
"hospitalizations","AB",2020-08-09,70
"hospitalizations","AB",2020-08-10,68
"hospitalizations","AB",2020-08-11,51
"hospitalizations","AB",2020-08-12,50
"hospitalizations","AB",2020-08-13,50
"hospitalizations","AB",2020-08-14,48
"hospitalizations","AB",2020-08-15,48
"hospitalizations","AB",2020-08-16,48
